APE;ST45;ST8
01.11Z;1;1
01.12Z;1;1
01.13Z;1;1
01.14Z;1;1
01.15Z;1;1
01.16Z;1;1
01.19Z;1;1
01.21Z;1;1
01.22Z;1;1
01.23Z;1;1
01.24Z;1;1
01.25Z;1;1
01.26Z;1;1
01.27Z;1;1
01.28Z;1;1
01.29Z;1;1
01.30Z;1;1
01.41Z;1;1
01.42Z;1;1
01.43Z;1;1
01.44Z;1;1
01.45Z;1;1
01.46Z;1;1
01.47Z;1;1
01.49Z;1;1
01.50Z;1;1
01.61Z;1;1
01.62Z;1;1
01.63Z;1;1
01.64Z;1;1
01.70Z;1;1
02.10Z;1;1
02.20Z;1;1
02.30Z;1;1
02.40Z;1;1
03.11Z;1;1
03.12Z;1;1
03.21Z;1;1
03.22Z;1;1
05.10Z;30;8
05.20Z;30;8
06.10Z;30;8
06.20Z;30;8
07.10Z;30;8
07.21Z;30;8
07.29Z;30;8
08.11Z;30;8
08.12Z;30;8
08.91Z;30;8
08.92Z;30;8
08.93Z;30;8
08.99Z;30;8
09.10Z;30;8
09.90Z;30;8
10.11Z;05-2;3
10.12Z;05-2;3
10.13A;05-2;3
10.13B;15;6
10.20Z;05-2;3
10.31Z;05-5;3
10.32Z;05-2;3
10.39A;05-2;3
10.39B;05-2;3
10.41A;05-5;3
10.41B;05-5;3
10.42Z;05-5;3
10.51A;05-2;3
10.51B;27-3;7
10.51C;05-2;3
10.51D;05-2;3
10.52Z;05-2;3
10.61A;05-5;3
10.61B;05-5;3
10.62Z;05-5;3
10.71A;05-5;3
10.71B;05-5;3
10.71C;17;6
10.71D;17;6
10.72Z;05-5;3
10.73Z;05-5;3
10.81Z;05-5;3
10.82Z;05-5;3
10.83Z;05-5;3
10.84Z;05-5;3
10.85Z;05-5;3
10.86Z;05-5;3
10.89Z;05-5;3
10.91Z;05-4;3
10.92Z;05-4;3
11.01Z;05-5;3
11.02A;05-5;3
11.02B;05-5;3
11.03Z;05-5;3
11.04Z;05-5;3
11.05Z;05-5;3
11.06Z;05-5;3
11.07A;05-5;3
11.07B;05-5;3
12.00Z;05-4;3
13.10Z;04-2;3
13.20Z;04-2;3
13.30Z;04-2;3
13.91Z;04-2;3
13.92Z;04-2;3
13.93Z;05-4;3
13.94Z;04-2;3
13.95Z;04-2;3
13.96Z;04-2;3
13.99Z;04-2;3
14.11Z;05-4;3
14.12Z;05-4;3
14.13Z;05-4;3
14.14Z;05-4;3
14.19Z;05-4;3
14.20Z;05-4;3
14.31Z;05-4;3
14.39Z;04-2;3
15.11Z;04-2;3
15.12Z;05-4;3
15.20Z;05-4;3
16.10A;04-2;3
16.10B;04-2;3
16.21Z;04-7;3
16.22Z;04-7;3
16.23Z;04-7;3
16.24Z;04-7;3
16.29Z;04-6;3
17.11Z;04-6;3
17.12Z;04-6;3
17.21A;04-6;3
17.21B;04-6;3
17.21C;04-6;3
17.22Z;04-6;3
17.23Z;04-6;3
17.24Z;04-2;3
17.29Z;04-6;3
18.11Z;04-6;3
18.12Z;04-6;3
18.13Z;04-6;3
18.14Z;04-6;3
18.20Z;04-6;3
19.10Z;3;3
19.20Z;3;3
20.11Z;3;3
20.12Z;3;3
20.13A;3;3
20.13B;3;3
20.14Z;3;3
20.15Z;3;3
20.16Z;3;3
20.17Z;3;3
20.20Z;3;3
20.30Z;3;3
20.41Z;04-2;3
20.42Z;04-2;3
20.51Z;3;3
20.52Z;3;3
20.53Z;3;3
20.59Z;3;3
20.60Z;04-2;3
21.10Z;04-2;3
21.20Z;04-2;3
22.11Z;04-2;3
22.19Z;04-2;3
22.21Z;04-2;3
22.22Z;04-2;3
22.23Z;04-2;3
22.29A;04-2;3
22.29B;04-2;3
23.11Z;04-2;3
23.12Z;04-2;3
23.13Z;04-2;3
23.14Z;04-2;3
23.19Z;04-2;3
23.20Z;04-2;3
23.31Z;04-2;3
23.32Z;04-2;3
23.41Z;04-2;3
23.42Z;04-2;3
23.43Z;04-2;3
23.44Z;04-2;3
23.49Z;04-2;3
23.51Z;34-2;3
23.52Z;02-3;2
23.61Z;34-2;3
23.62Z;34-2;3
23.63Z;34-2;3
23.64Z;34-2;3
23.65Z;34-2;3
23.69Z;34-2;3
23.70Z;02-3;2
23.91Z;04-7;3
23.99Z;34-2;3
24.10Z;34-3;3
24.20Z;34-3;3
24.31Z;34-3;3
24.32Z;34-3;3
24.33Z;34-3;3
24.34Z;34-3;3
24.41Z;34-3;3
24.42Z;34-3;3
24.43Z;34-3;3
24.44Z;34-3;3
24.45Z;34-3;3
24.46Z;34-3;3
24.51Z;34-3;3
24.52Z;34-3;3
24.53Z;34-3;3
24.54Z;34-3;3
25.11Z;34-3;3
25.12Z;34-3;3
25.21Z;34-3;3
25.29Z;34-3;3
25.30Z;34-3;3
25.40Z;04-6;3
25.50A;34-3;3
25.50B;34-3;3
25.61Z;04-6;3
25.62A;04-6;3
25.62B;04-6;3
25.71Z;04-2;3
25.72Z;04-2;3
25.73A;04-2;3
25.73B;04-2;3
25.91Z;04-2;3
25.92Z;04-2;3
25.93Z;04-2;3
25.94Z;04-2;3
25.99A;04-2;3
25.99B;04-2;3
26.11Z;04-2;3
26.12Z;04-2;3
26.20Z;04-2;3
26.30Z;34-3;3
26.40Z;04-7;3
26.51A;04-7;3
26.51B;04-7;3
26.52Z;04-7;3
26.60Z;04-7;3
26.70Z;04-7;3
26.80Z;04-7;3
27.11Z;04-7;3
27.12Z;34-3;3
27.20Z;04-7;3
27.31Z;04-7;3
27.32Z;04-7;3
27.33Z;04-7;3
27.40Z;04-2;3
27.51Z;04-2;3
27.52Z;04-2;3
27.90Z;04-2;3
28.11Z;04-7;3
28.12Z;04-7;3
28.13Z;04-7;3
28.14Z;04-7;3
28.15Z;04-7;3
28.21Z;04-2;3
28.22Z;04-2;3
28.23Z;04-2;3
28.24Z;04-2;3
28.25Z;04-2;3
28.29A;04-2;3
28.29B;04-2;3
28.30Z;04-2;3
28.41Z;04-2;3
28.49Z;04-2;3
28.91Z;04-2;3
28.92Z;04-2;3
28.93Z;04-2;3
28.94Z;04-2;3
28.95Z;04-2;3
28.96Z;04-2;3
28.99A;04-2;3
28.99B;04-2;3
29.10Z;04-2;3
29.20Z;04-2;3
29.31Z;04-7;3
29.32Z;04-7;3
30.11Z;04-2;3
30.12Z;04-2;3
30.20Z;04-2;3
30.30Z;04-2;3
30.40Z;04-2;3
30.91Z;04-2;3
30.92Z;04-2;3
30.99Z;04-2;3
